
31 May 2012 10:01:47 AM

FEYNMAN_KAC_2D:
  C version.

  Program parameters:

  The calculation takes place inside a 2D ellipse.
  A rectangular grid of points will be defined.
  The solution will be estimated for those grid points
  that lie inside the ellipse.

  Each solution will be estimated by computing 10000 trajectories
  from the point to the boundary.

    (X/A)^2 + (Y/B)^2 = 1

  The ellipse parameters A, B are set to:

    A = 2.000000
    B = 1.000000
  Stepsize H = 0.0001

  X coordinate marked by 21 points
  Y coordinate marked by 11 points

     X        Y        W Approx     W Exact    Error    Ave Steps

  -2.0000  -1.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.0000  -0.9000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.0000  -0.8000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.0000  -0.7000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.0000  -0.6000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.0000  -0.5000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.0000  -0.4000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.0000  -0.3000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.0000  -0.2000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.0000  -0.1000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.0000   0.0000  9.9603e-01  1.0000e+00  3.9714e-03        34
  -2.0000   0.1000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.0000   0.2000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.0000   0.3000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.0000   0.4000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.0000   0.5000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.0000   0.6000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.0000   0.7000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.0000   0.8000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.0000   0.9000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.0000   1.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
