23 March 2009 01:41:50 PM

FFT
  C version

  Demonstrate an implementation of the Fast Fourier Transform
  of a complex data vector.

  Accuracy check:

    FFT ( FFT ( X(1:N) ) ) == N * X(1:N)

             N    Error         Time              MFLOPS

             2  7.859082e-17  4.045500e-07     24.718823
             4  1.209837e-16  1.179050e-06     33.925618
             8  6.820795e-17  2.144750e-06     55.950577
            16  1.031249e-16  4.873750e-06     65.657861
            32  1.496684e-16  6.405500e-06    124.892670
            64  1.802755e-16  1.486600e-05    129.153774
           128  1.845053e-16  3.005250e-05    149.072457
           256  1.994113e-16  7.065350e-05    144.932664
           512  1.988642e-16  1.454600e-04    158.394060
          1024  2.425896e-16  3.351500e-04    152.767418
          2048  2.532795e-16  6.931350e-04    162.508025
          4096  2.645715e-16  1.606055e-03    153.020911
          8192  2.633370e-16  3.286400e-03    162.025316
         16384  2.801907e-16  7.814550e-03    146.762130
         32768  3.016753e-16  1.636615e-02    150.163600
         65536  2.908847e-16  3.715275e-02    141.116876
        131072  3.159930e-16  7.970900e-02    139.772422
        262144  3.258648e-16  1.786320e-01    132.075776
        524288  3.329820e-16  3.673320e-01    135.592216
       1048576  3.319505e-16  7.961470e-01    131.706331

FFT:
  Normal end of execution.

23 March 2009 01:42:01 PM
