03 September 2012 11:00:19 AM

RANDOM_OPENMP
  C version
  An OpenMP program using random numbers.
  The random numbers depend on a seed.
  We need to insure that each OpenMP thread
  starts with a different seed.

  Number of processors available = 8
  Number of threads =              8

  Thread   Seed  I   X(I)

       1     123456790
       2     123456791
       4     123456793
       0     123456789
       1         32142      13        0.490448
       6     123456795
       5     123456794
       2         35267      26        0.538132
       3     123456792
       7     123456796
       4         41517      52        0.633499
       0         29017       0        0.442764
       1         42598      14        0.649994
       6         47767      78        0.728867
       5         44642      65        0.681183
       2         43359      27        0.661606
       3         38392      39        0.585815
       7         50892      91         0.77655
       4         44881      53         0.68483
       0         41837       1        0.638382
       1         15134      15        0.230927
       6         46403      79        0.708054
       5         45642      66        0.696442
       2         33963      28        0.518234
       3         44120      40        0.673218
       7         47164      92        0.719666
       4          6085      54       0.0928497
       0         61841       2        0.943619
       1         42294      16        0.645355
       6         43743      80        0.667465
       5         24914      67        0.380157
       2         31591      29         0.48204
       3         52792      41        0.805542
       7         62572      93        0.954773
       4         10185      55        0.155411
       0         52997       3         0.80867
       1         48174      17        0.735077
       6         54315      81        0.828781
       5         65018      68        0.992096
       2         24659      30        0.376266
       3         20888      42        0.318726
       7         43612      94        0.665466
       4         43165      56        0.658646
       0          6153       4       0.0938873
       1          7558      18        0.115326
       6         61671      82        0.941025
       5         19650      69        0.299835
       2         54575      31        0.832748
       3          1144      43       0.0174561
       7         38156      95        0.582214
       4         17537      57        0.267593
       0         26077       5        0.397903
       1         25790      19        0.393524
       6         46035      83        0.702438
       5         64554      70        0.985016
       2         22203      32        0.338791
       3         36056      44        0.550171
       7         27516      96        0.419861
       4         15029      58        0.229324
       0         29377       6        0.448257
       1         50006      20        0.763031
       6          7855      84        0.119858
       5         11442      71        0.174591
       2         47287      33        0.721542
       3         18616      45        0.284058
       7          4268      97       0.0651245
       4         41849      59        0.638565
       0         52725       7         0.80452
       1         30926      21        0.471893
       6         36411      85        0.555588
       5         39130      72        0.597076
       2         53731      34         0.81987
       3         44568      46        0.680054
       7         33692      98        0.514099
       4         33805      60        0.515823
       0          8121       8        0.123917
       1         43686      22        0.666595
       6         13879      86        0.211777
       5         56610      73          0.8638
       2          6143      35       0.0937347
       3         11000      47        0.167847
       7         36684      99        0.559753
       4         62129      61        0.948013
       0         15693       9        0.239456
       1          7262      23        0.110809
       6         52579      87        0.802292
       5         24586      74        0.375153
       2         60363      36        0.921066
       3         34136      48        0.520874
       4         35493      62         0.54158
       0         19697      10        0.300552
       1         18294      24        0.279144
       6         10623      88        0.162094
       5         23058      75        0.351837
       2         21767      37        0.332138
       3         47928      49        0.731323
       4         28713      63        0.438126
       0         14821      11        0.226151
       1         21358      25        0.325897
       6         35659      89        0.544113
       5         32186      76        0.491119
       2         61043      38        0.931442
       3         25240      50        0.385132
       4          9341      64        0.142532
       0         47209      12        0.720352
       6         23175      90        0.353622
       5         49026      77        0.748077
       3         35192      51        0.536987

RANDOM_OPENMP
  Normal end of execution.

03 September 2012 11:00:19 AM
