
SCHEDULE_OPEN_MP
  C/OpenMP version
  Count the primes from 1 to N.
  This is an unbalanced work load, particular for two threads.
  Demonstrate default, static and dynamic scheduling.

  Number of processors available = 8
  Number of threads =              2

TEST01

                           Default        Static       Dynamic
         N     Pi(N)          Time          Time          Time

         1         0      0.000549      0.000097      0.000035
         2         1      0.000035      0.000035      0.000036
         4         2      0.000035      0.000035      0.000035
         8         4      0.000035      0.000035      0.000035
        16         6      0.000035      0.000036      0.000035
        32        11      0.000036      0.000036      0.000035
        64        18      0.000038      0.000031      0.000032
       128        31      0.000045      0.000038      0.000038
       256        54      0.000068      0.000057      0.000058
       512        97      0.000153      0.000135      0.000131
      1024       172      0.000448      0.000360      0.000329
      2048       309      0.001508      0.001131      0.001131
      4096       564      0.005501      0.003953      0.003892
      8192      1028      0.019833      0.013909      0.013624
     16384      1900      0.047981      0.032499      0.032278
     32768      3512      0.173587      0.129793      0.118887
     65536      6542      0.650544      0.446075      0.444099
    131072     12251      2.452886      1.708540      1.665006

SCHEDULE_OPEN_MP
  Normal end of execution.
