
SCHEDULE_OPEN_MP
  C/OpenMP version
  Count the primes from 1 to N.
  This is an unbalanced work load, particular for two threads.
  Demonstrate default, static and dynamic scheduling.

  Number of processors available = 8
  Number of threads =              2

TEST01

                           Default        Static       Dynamic
         N     Pi(N)          Time          Time          Time

         1         0      0.000199      0.000005      0.000007
         2         1      0.000010      0.000004      0.000023
         4         2      0.000004      0.000003      0.000004
         8         4      0.000004      0.000004      0.000004
        16         6      0.000004      0.000003      0.000004
        32        11      0.000005      0.000005      0.000005
        64        18      0.000007      0.000007      0.000008
       128        31      0.000013      0.000011      0.000013
       256        54      0.000037      0.000027      0.000027
       512        97      0.000121      0.000094      0.000095
      1024       172      0.000414      0.000294      0.000294
      2048       309      0.001474      0.001094      0.001057
      4096       564      0.005454      0.003893      0.003839
      8192      1028      0.019701      0.013809      0.013366
     16384      1900      0.047564      0.032365      0.032139
     32768      3512      0.172955      0.146530      0.118439
     65536      6542      0.648343      0.468580      0.442546
    131072     12251      2.443751      1.702956      1.675743

SCHEDULE_OPEN_MP
  Normal end of execution.
