
SCHEDULE_OPEN_MP
  C/OpenMP version
  Count the primes from 1 to N.
  This is an unbalanced work load, particular for two threads.
  Demonstrate default, static and dynamic scheduling.

  Number of processors available = 2
  Number of threads =              2

TEST01

                           Default        Static       Dynamic
         N     Pi(N)          Time          Time          Time

         1         0        0.001969        0.000154        0.000493
         2         1        0.000151        0.000150        0.000163
         4         2        0.000153        0.000150        0.000257
         8         4        0.000210        0.000194        0.000197
        16         6        0.000221        0.000172        0.000196
        32        11        0.000198        0.000201        0.000197
        64        18        0.000209        0.000218        0.000234
       128        31        0.000260        0.000293        0.000342
       256        54        0.000383        0.000325        0.000330
       512        97        0.000883        0.000687        0.000807
      1024       172        0.004108        0.001848        0.002024
      2048       309        0.007154        0.013166        0.010873
      4096       564        0.021197        0.018367        0.018291
      8192      1028        0.081067        0.055527        0.053729
     16384      1900        0.289428        0.182894        0.180236
     32768      3512        0.989166        0.702069        0.680006
     65536      6542        3.643184        2.535604        2.519267
    131072     12251       13.929835        9.524559        9.522836

SCHEDULE_OPEN_MP
  Normal end of execution.
