
SCHEDULE_OPEN_MP
  C/OpenMP version
  Count the primes from 1 to N.
  This is an unbalanced work load, particular for two threads.
  Demonstrate default, static and dynamic scheduling.

  Number of processors available = 16
  Number of threads =              2

TEST01

                           Default        Static       Dynamic
         N     Pi(N)          Time          Time          Time

         1         0      0.000174      0.000005      0.000006
         2         1      0.000010      0.000004      0.000014
         4         2      0.000004      0.000003      0.000004
         8         4      0.000004      0.000003      0.000004
        16         6      0.000004      0.000004      0.000003
        32        11      0.000005      0.000004      0.000004
        64        18      0.000006      0.000007      0.000007
       128        31      0.000013      0.000012      0.000012
       256        54      0.000039      0.000027      0.000027
       512        97      0.000121      0.000099      0.000095
      1024       172      0.000414      0.000294      0.000295
      2048       309      0.001497      0.001116      0.001074
      4096       564      0.005462      0.004062      0.003870
      8192      1028      0.019771      0.014134      0.010828
     16384      1900      0.047126      0.039224      0.032545
     32768      3512      0.173647      0.119653      0.119660
     65536      6542      0.651146      0.476442      0.447237
    131072     12251      2.453612      1.730153      1.678845

SCHEDULE_OPEN_MP
  Normal end of execution.
