17 June 2014 08:30:02 AM

TOMS743_PRB
  C version
  Test the TOMS743 library.

  Number of bits in mantissa - 1 = 52

TEST01
  Compare WAPR(X) to stored values.

  Wp results for x near -exp(-1)

   Offset x    W(x) (WAPR)   W(x) (EXACT)   Digits Correct

   1.00000000e-40  -1.00000000e+00  -1.00000000e+00       16
   2.00000000e-40  -1.00000000e+00  -1.00000000e+00       16
   3.00000000e-40  -1.00000000e+00  -1.00000000e+00       16
   4.00000000e-40  -1.00000000e+00  -1.00000000e+00       16
   5.00000000e-40  -1.00000000e+00  -1.00000000e+00       16
   6.00000000e-40  -1.00000000e+00  -1.00000000e+00       16
   7.00000000e-40  -1.00000000e+00  -1.00000000e+00       16
   8.00000000e-40  -1.00000000e+00  -1.00000000e+00       16
   9.00000000e-40  -1.00000000e+00  -1.00000000e+00       16
   1.00000000e-39  -1.00000000e+00  -1.00000000e+00       16
   1.00000000e-30  -1.00000000e+00  -1.00000000e+00       16
   2.00000000e-30  -1.00000000e+00  -1.00000000e+00       16
   3.00000000e-30  -1.00000000e+00  -1.00000000e+00       16
   4.00000000e-30  -1.00000000e+00  -1.00000000e+00       16
   5.00000000e-30  -1.00000000e+00  -1.00000000e+00       16
   6.00000000e-30  -1.00000000e+00  -1.00000000e+00       16
   7.00000000e-30  -1.00000000e+00  -1.00000000e+00       16
   8.00000000e-30  -1.00000000e+00  -1.00000000e+00       16
   9.00000000e-30  -1.00000000e+00  -1.00000000e+00       16
   1.00000000e-29  -1.00000000e+00  -1.00000000e+00       16
   1.00000000e-20  -1.00000000e+00  -1.00000000e+00       16
   2.00000000e-20  -1.00000000e+00  -1.00000000e+00       16
   3.00000000e-20  -1.00000000e+00  -1.00000000e+00       16
   4.00000000e-20  -1.00000000e+00  -1.00000000e+00       16
   5.00000000e-20  -9.99999999e-01  -9.99999999e-01       16
   6.00000000e-20  -9.99999999e-01  -9.99999999e-01       16
   7.00000000e-20  -9.99999999e-01  -9.99999999e-01       16
   8.00000000e-20  -9.99999999e-01  -9.99999999e-01       16
   9.00000000e-20  -9.99999999e-01  -9.99999999e-01       16
   1.00000000e-19  -9.99999999e-01  -9.99999999e-01       16
   1.00000000e-10  -9.99976684e-01  -9.99976684e-01       16
   2.00000000e-10  -9.99967026e-01  -9.99967026e-01       16
   3.00000000e-10  -9.99959615e-01  -9.99959615e-01       16
   4.00000000e-10  -9.99953368e-01  -9.99953368e-01       16
   5.00000000e-10  -9.99947864e-01  -9.99947864e-01       16
   6.00000000e-10  -9.99942888e-01  -9.99942888e-01       16
   7.00000000e-10  -9.99938312e-01  -9.99938312e-01       16
   8.00000000e-10  -9.99934053e-01  -9.99934053e-01       16
   9.00000000e-10  -9.99930052e-01  -9.99930052e-01       16
   1.00000000e-09  -9.99926269e-01  -9.99926269e-01       16
   1.00000000e-05  -9.92644755e-01  -9.92644755e-01       16
   2.00000000e-05  -9.89608643e-01  -9.89608643e-01       16
   3.00000000e-05  -9.87283109e-01  -9.87283109e-01       16
   4.00000000e-05  -9.85325390e-01  -9.85325390e-01       16
   5.00000000e-05  -9.83602718e-01  -9.83602718e-01       16
   6.00000000e-05  -9.82047003e-01  -9.82047003e-01       16
   7.00000000e-05  -9.80617797e-01  -9.80617797e-01       16
   8.00000000e-05  -9.79288746e-01  -9.79288746e-01       16
   9.00000000e-05  -9.78041545e-01  -9.78041545e-01       16
   1.00000000e-04  -9.76862866e-01  -9.76862866e-01       16
   2.00000000e-04  -9.67382627e-01  -9.67382627e-01       15
   3.00000000e-04  -9.60148542e-01  -9.60148542e-01       15
   4.00000000e-04  -9.54076869e-01  -9.54076869e-01       15
   5.00000000e-04  -9.48747869e-01  -9.48747869e-01       15
   6.00000000e-04  -9.43946291e-01  -9.43946291e-01       15
   7.00000000e-04  -9.39544278e-01  -9.39544278e-01       15
   8.00000000e-04  -9.35458531e-01  -9.35458531e-01       15
   9.00000000e-04  -9.31631195e-01  -9.31631195e-01       15
   1.00000000e-03  -9.28020150e-01  -9.28020150e-01       15
   2.00000000e-03  -8.99185766e-01  -8.99185766e-01       15
   3.00000000e-03  -8.77428717e-01  -8.77428717e-01       15
   4.00000000e-03  -8.59327504e-01  -8.59327504e-01       16
   5.00000000e-03  -8.43558002e-01  -8.43558002e-01       15
   6.00000000e-03  -8.29441686e-01  -8.29441686e-01       16
   7.00000000e-03  -8.16575805e-01  -8.16575805e-01       16
