02 September 2010 01:00:36 PM

TRIANGLE_GRID_PRB:
  C version
  Test the TRIANGLE_GRID library.

TEST01
  TRIANGLE_GRID can define a triangular grid of points
  with N+1 points on a side, based on any triangle.

  Defining triangle:
     J      X      Y

     0      0.000000      0.000000
     1      1.000000      0.000000
     2      0.500000      0.866025

     J      X      Y

     0      0.500000      0.866025
     1      0.550000      0.779423
     2      0.600000      0.692820
     3      0.650000      0.606218
     4      0.700000      0.519615
     5      0.750000      0.433013
     6      0.800000      0.346410
     7      0.850000      0.259808
     8      0.900000      0.173205
     9      0.950000      0.086603
    10      1.000000      0.000000
    11      0.450000      0.779423
    12      0.500000      0.692820
    13      0.550000      0.606218
    14      0.600000      0.519615
    15      0.650000      0.433013
    16      0.700000      0.346410
    17      0.750000      0.259808
    18      0.800000      0.173205
    19      0.850000      0.086603
    20      0.900000      0.000000
    21      0.400000      0.692820
    22      0.450000      0.606218
    23      0.500000      0.519615
    24      0.550000      0.433013
    25      0.600000      0.346410
    26      0.650000      0.259808
    27      0.700000      0.173205
    28      0.750000      0.086603
    29      0.800000      0.000000
    30      0.350000      0.606218
    31      0.400000      0.519615
    32      0.450000      0.433013
    33      0.500000      0.346410
    34      0.550000      0.259808
    35      0.600000      0.173205
    36      0.650000      0.086603
    37      0.700000      0.000000
    38      0.300000      0.519615
    39      0.350000      0.433013
    40      0.400000      0.346410
    41      0.450000      0.259808
    42      0.500000      0.173205
    43      0.550000      0.086603
    44      0.600000      0.000000
    45      0.250000      0.433013
    46      0.300000      0.346410
    47      0.350000      0.259808
    48      0.400000      0.173205
    49      0.450000      0.086603
    50      0.500000      0.000000
    51      0.200000      0.346410
    52      0.250000      0.259808
    53      0.300000      0.173205
    54      0.350000      0.086603
    55      0.400000      0.000000
    56      0.150000      0.259808
    57      0.200000      0.173205
    58      0.250000      0.086603
    59      0.300000      0.000000
    60      0.100000      0.173205
    61      0.150000      0.086603
    62      0.200000      0.000000
    63      0.050000      0.086603
    64      0.100000      0.000000
    65      0.000000      0.000000

TRIANGLE_GRID_PRB:
  Normal end of execution.

02 September 2010 01:00:36 PM
